,altname
1INCH/EUR,1INCHEUR
1INCH/USD,1INCHUSD
AAVE/AUD,AAVEAUD
AAVE/ETH,AAVEETH
AAVE/EUR,AAVEEUR
AAVE/GBP,AAVEGBP
AAVE/USD,AAVEUSD
AAVE/XBT,AAVEXBT
ACA/EUR,ACAEUR
ACA/USD,ACAUSD
ACH/EUR,ACHEUR
ACH/USD,ACHUSD
ADA/AUD,ADAAUD
ADA/ETH,ADAETH
ADA/EUR,ADAEUR
ADA/GBP,ADAGBP
ADA/USD,ADAUSD
ADA/USDT,ADAUSDT
ADA/XBT,ADAXBT
ADX/EUR,ADXEUR
ADX/USD,ADXUSD
AGLD/EUR,AGLDEUR
AGLD/USD,AGLDUSD
AIR/EUR,AIREUR
AIR/USD,AIRUSD
AKT/EUR,AKTEUR
AKT/USD,AKTUSD
ALCX/EUR,ALCXEUR
ALCX/USD,ALCXUSD
ALGO/ETH,ALGOETH
ALGO/EUR,ALGOEUR
ALGO/GBP,ALGOGBP
ALGO/USD,ALGOUSD
ALGO/USDT,ALGOUSDT
ALGO/XBT,ALGOXBT
ALICE/EUR,ALICEEUR
ALICE/USD,ALICEUSD
ALPHA/EUR,ALPHAEUR
ALPHA/USD,ALPHAUSD
ANKR/EUR,ANKREUR
ANKR/GBP,ANKRGBP
ANKR/USD,ANKRUSD
ANKR/XBT,ANKRXBT
ANT/ETH,ANTETH
ANT/EUR,ANTEUR
ANT/USD,ANTUSD
ANT/XBT,ANTXBT
APE/EUR,APEEUR
APE/USD,APEUSD
APE/USDT,APEUSDT
API3/EUR,API3EUR
API3/USD,API3USD
APT/EUR,APTEUR
APT/USD,APTUSD
ARPA/EUR,ARPAEUR
ARPA/USD,ARPAUSD
ASTR/EUR,ASTREUR
ASTR/USD,ASTRUSD
ATLAS/EUR,ATLASEUR
ATLAS/USD,ATLASUSD
ATOM/AUD,ATOMAUD
ATOM/ETH,ATOMETH
ATOM/EUR,ATOMEUR
ATOM/GBP,ATOMGBP
ATOM/USD,ATOMUSD
ATOM/USDT,ATOMUSDT
ATOM/XBT,ATOMXBT
AUDIO/EUR,AUDIOEUR
AUDIO/USD,AUDIOUSD
AUD/JPY,AUDJPY
AUD/USD,AUDUSD
AVAX/EUR,AVAXEUR
AVAX/USD,AVAXUSD
AVAX/USDT,AVAXUSDT
AXS/EUR,AXSEUR
AXS/USD,AXSUSD
BADGER/EUR,BADGEREUR
BADGER/USD,BADGERUSD
BAL/ETH,BALETH
BAL/EUR,BALEUR
BAL/USD,BALUSD
BAL/XBT,BALXBT
BAND/EUR,BANDEUR
BAND/USD,BANDUSD
BAT/ETH,BATETH
BAT/EUR,BATEUR
BAT/JPY,BATJPY
BAT/USD,BATUSD
BAT/XBT,BATXBT
BCH/AUD,BCHAUD
BCH/ETH,BCHETH
BCH/EUR,BCHEUR
BCH/GBP,BCHGBP
BCH/JPY,BCHJPY
BCH/USD,BCHUSD
BCH/USDT,BCHUSDT
BCH/XBT,BCHXBT
BICO/EUR,BICOEUR
BICO/USD,BICOUSD
BIT/EUR,BITEUR
BIT/USD,BITUSD
BLZ/EUR,BLZEUR
BLZ/USD,BLZUSD
BNC/EUR,BNCEUR
BNC/USD,BNCUSD
BNT/EUR,BNTEUR
BNT/GBP,BNTGBP
BNT/USD,BNTUSD
BNT/XBT,BNTXBT
BOBA/EUR,BOBAEUR
BOBA/USD,BOBAUSD
BOND/EUR,BONDEUR
BOND/USD,BONDUSD
BSX/EUR,BSXEUR
BSX/USD,BSXUSD
BTT/EUR,BTTEUR
BTT/USD,BTTUSD
C98/EUR,C98EUR
C98/USD,C98USD
CELR/EUR,CELREUR
CELR/USD,CELRUSD
CFG/EUR,CFGEUR
CFG/USD,CFGUSD
CHR/EUR,CHREUR
CHR/USD,CHRUSD
CHZ/EUR,CHZEUR
CHZ/USD,CHZUSD
COMP/ETH,COMPETH
COMP/EUR,COMPEUR
COMP/USD,COMPUSD
COMP/XBT,COMPXBT
COTI/EUR,COTIEUR
COTI/USD,COTIUSD
CQT/EUR,CQTEUR
CQT/USD,CQTUSD
CRV/ETH,CRVETH
CRV/EUR,CRVEUR
CRV/USD,CRVUSD
CRV/XBT,CRVXBT
CSM/EUR,CSMEUR
CSM/USD,CSMUSD
CTSI/EUR,CTSIEUR
CTSI/USD,CTSIUSD
CVC/EUR,CVCEUR
CVC/USD,CVCUSD
CVX/EUR,CVXEUR
CVX/USD,CVXUSD
DAI/EUR,DAIEUR
DAI/USD,DAIUSD
DAI/USDT,DAIUSDT
DASH/EUR,DASHEUR
DASH/USD,DASHUSD
DASH/XBT,DASHXBT
DENT/EUR,DENTEUR
DENT/USD,DENTUSD
DOT/AUD,DOTAUD
DOT/ETH,DOTETH
DOT/EUR,DOTEUR
DOT/GBP,DOTGBP
DOT/JPY,DOTJPY
DOT/USD,DOTUSD
DOT/USDT,DOTUSDT
DOT/XBT,DOTXBT
DYDX/EUR,DYDXEUR
DYDX/USD,DYDXUSD
EGLD/EUR,EGLDEUR
EGLD/USD,EGLDUSD
ENJ/EUR,ENJEUR
ENJ/GBP,ENJGBP
ENJ/JPY,ENJJPY
ENJ/USD,ENJUSD
ENJ/XBT,ENJXBT
ENS/EUR,ENSEUR
ENS/USD,ENSUSD
EOS/ETH,EOSETH
EOS/EUR,EOSEUR
EOS/USD,EOSUSD
EOS/USDT,EOSUSDT
EOS/XBT,EOSXBT
ETH2.S/ETH,ETH2.SETH
ETH/AED,ETHAED
ETH/AUD,ETHAUD
ETH/CHF,ETHCHF
ETH/DAI,ETHDAI
ETH/USDC,ETHUSDC
ETH/USDT,ETHUSDT
ETHW/ETH,ETHWETH
ETHW/EUR,ETHWEUR
ETHW/USD,ETHWUSD
EUR/AUD,EURAUD
EUR/CAD,EURCAD
EUR/CHF,EURCHF
EUR/GBP,EURGBP
EUR/JPY,EURJPY
EWT/EUR,EWTEUR
EWT/GBP,EWTGBP
EWT/USD,EWTUSD
EWT/XBT,EWTXBT
FARM/EUR,FARMEUR
FARM/USD,FARMUSD
FET/EUR,FETEUR
FET/USD,FETUSD
FIDA/EUR,FIDAEUR
FIDA/USD,FIDAUSD
FIL/AUD,FILAUD
FIL/ETH,FILETH
FIL/EUR,FILEUR
FIL/GBP,FILGBP
FIL/USD,FILUSD
FIL/XBT,FILXBT
FIS/EUR,FISEUR
FIS/USD,FISUSD
FLOW/ETH,FLOWETH
FLOW/EUR,FLOWEUR
FLOW/GBP,FLOWGBP
FLOW/USD,FLOWUSD
FLOW/XBT,FLOWXBT
FORTH/EUR,FORTHEUR
FORTH/USD,FORTHUSD
FTM/EUR,FTMEUR
FTM/USD,FTMUSD
FXS/EUR,FXSEUR
FXS/USD,FXSUSD
GALA/EUR,GALAEUR
GALA/USD,GALAUSD
GAL/EUR,GALEUR
GAL/USD,GALUSD
GARI/EUR,GARIEUR
GARI/USD,GARIUSD
GHST/EUR,GHSTEUR
GHST/GBP,GHSTGBP
GHST/USD,GHSTUSD
GHST/XBT,GHSTXBT
GLMR/EUR,GLMREUR
GLMR/USD,GLMRUSD
GMT/EUR,GMTEUR
GMT/USD,GMTUSD
GNO/ETH,GNOETH
GNO/EUR,GNOEUR
GNO/USD,GNOUSD
GNO/XBT,GNOXBT
GRT/AUD,GRTAUD
GRT/ETH,GRTETH
GRT/EUR,GRTEUR
GRT/GBP,GRTGBP
GRT/USD,GRTUSD
GRT/XBT,GRTXBT
GST/EUR,GSTEUR
GST/USD,GSTUSD
GTC/EUR,GTCEUR
GTC/USD,GTCUSD
HFT/EUR,HFTEUR
HFT/USD,HFTUSD
ICP/EUR,ICPEUR
ICP/USD,ICPUSD
ICX/ETH,ICXETH
ICX/EUR,ICXEUR
ICX/USD,ICXUSD
ICX/XBT,ICXXBT
IDEX/EUR,IDEXEUR
IDEX/USD,IDEXUSD
IMX/EUR,IMXEUR
IMX/USD,IMXUSD
INJ/EUR,INJEUR
INJ/USD,INJUSD
INTR/EUR,INTREUR
INTR/USD,INTRUSD
JASMY/EUR,JASMYEUR
JASMY/USD,JASMYUSD
JUNO/EUR,JUNOEUR
JUNO/USD,JUNOUSD
KAR/EUR,KAREUR
KAR/USD,KARUSD
KAVA/ETH,KAVAETH
KAVA/EUR,KAVAEUR
KAVA/USD,KAVAUSD
KAVA/XBT,KAVAXBT
KEEP/ETH,KEEPETH
KEEP/EUR,KEEPEUR
KEEP/USD,KEEPUSD
KEEP/XBT,KEEPXBT
KEY/EUR,KEYEUR
KEY/USD,KEYUSD
KILT/EUR,KILTEUR
KILT/USD,KILTUSD
KIN/EUR,KINEUR
KINT/EUR,KINTEUR
KINT/USD,KINTUSD
KIN/USD,KINUSD
KNC/ETH,KNCETH
KNC/EUR,KNCEUR
KNC/USD,KNCUSD
KNC/XBT,KNCXBT
KP3R/EUR,KP3REUR
KP3R/USD,KP3RUSD
KSM/AUD,KSMAUD
KSM/DOT,KSMDOT
KSM/ETH,KSMETH
KSM/EUR,KSMEUR
KSM/GBP,KSMGBP
KSM/USD,KSMUSD
KSM/XBT,KSMXBT
LCX/EUR,LCXEUR
LCX/USD,LCXUSD
LDO/EUR,LDOEUR
LDO/USD,LDOUSD
LINK/AUD,LINKAUD
LINK/ETH,LINKETH
LINK/EUR,LINKEUR
LINK/GBP,LINKGBP
LINK/JPY,LINKJPY
LINK/USD,LINKUSD
LINK/USDT,LINKUSDT
LINK/XBT,LINKXBT
LPT/EUR,LPTEUR
LPT/GBP,LPTGBP
LPT/USD,LPTUSD
LPT/XBT,LPTXBT
LRC/EUR,LRCEUR
LRC/USD,LRCUSD
LSK/ETH,LSKETH
LSK/EUR,LSKEUR
LSK/USD,LSKUSD
LSK/XBT,LSKXBT
LTC/AUD,LTCAUD
LTC/ETH,LTCETH
LTC/GBP,LTCGBP
LTC/USDT,LTCUSDT
LUNA2/EUR,LUNA2EUR
LUNA2/USD,LUNA2USD
LUNA/EUR,LUNAEUR
LUNA/USD,LUNAUSD
MANA/ETH,MANAETH
MANA/EUR,MANAEUR
MANA/USD,MANAUSD
MANA/USDT,MANAUSDT
MANA/XBT,MANAXBT
MASK/EUR,MASKEUR
MASK/USD,MASKUSD
MATIC/EUR,MATICEUR
MATIC/GBP,MATICGBP
MATIC/USD,MATICUSD
MATIC/USDT,MATICUSDT
MATIC/XBT,MATICXBT
MC/EUR,MCEUR
MC/USD,MCUSD
MINA/EUR,MINAEUR
MINA/GBP,MINAGBP
MINA/USD,MINAUSD
MINA/XBT,MINAXBT
MIR/EUR,MIREUR
MIR/USD,MIRUSD
MKR/EUR,MKREUR
MKR/GBP,MKRGBP
MKR/USD,MKRUSD
MKR/XBT,MKRXBT
MNGO/EUR,MNGOEUR
MNGO/USD,MNGOUSD
MOVR/EUR,MOVREUR
MOVR/USD,MOVRUSD
MSOL/EUR,MSOLEUR
MSOL/USD,MSOLUSD
MULTI/EUR,MULTIEUR
MULTI/USD,MULTIUSD
MV/EUR,MVEUR
MV/USD,MVUSD
MXC/EUR,MXCEUR
MXC/USD,MXCUSD
NANO/ETH,NANOETH
NANO/EUR,NANOEUR
NANO/USD,NANOUSD
NANO/XBT,NANOXBT
NEAR/EUR,NEAREUR
NEAR/USD,NEARUSD
NMR/EUR,NMREUR
NMR/USD,NMRUSD
NODL/EUR,NODLEUR
NODL/USD,NODLUSD
NYM/EUR,NYMEUR
NYM/USD,NYMUSD
NYM/XBT,NYMXBT
OCEAN/EUR,OCEANEUR
OCEAN/GBP,OCEANGBP
OCEAN/USD,OCEANUSD
OCEAN/XBT,OCEANXBT
OGN/EUR,OGNEUR
OGN/USD,OGNUSD
OMG/ETH,OMGETH
OMG/EUR,OMGEUR
OMG/JPY,OMGJPY
OMG/USD,OMGUSD
OMG/XBT,OMGXBT
ORCA/EUR,ORCAEUR
ORCA/USD,ORCAUSD
OXT/ETH,OXTETH
OXT/EUR,OXTEUR
OXT/USD,OXTUSD
OXT/XBT,OXTXBT
OXY/EUR,OXYEUR
OXY/USD,OXYUSD
PARA/EUR,PARAEUR
PARA/USD,PARAUSD
PAXG/ETH,PAXGETH
PAXG/EUR,PAXGEUR
PAXG/USD,PAXGUSD
PAXG/XBT,PAXGXBT
PERP/EUR,PERPEUR
PERP/USD,PERPUSD
PHA/EUR,PHAEUR
PHA/USD,PHAUSD
PLA/EUR,PLAEUR
PLA/USD,PLAUSD
POLIS/EUR,POLISEUR
POLIS/USD,POLISUSD
POLS/EUR,POLSEUR
POLS/USD,POLSUSD
POND/EUR,PONDEUR
POND/USD,PONDUSD
POWR/EUR,POWREUR
POWR/USD,POWRUSD
PSTAKE/EUR,PSTAKEEUR
PSTAKE/USD,PSTAKEUSD
QNT/EUR,QNTEUR
QNT/USD,QNTUSD
QTUM/ETH,QTUMETH
QTUM/EUR,QTUMEUR
QTUM/USD,QTUMUSD
QTUM/XBT,QTUMXBT
RAD/EUR,RADEUR
RAD/USD,RADUSD
RARE/EUR,RAREEUR
RARE/USD,RAREUSD
RARI/EUR,RARIEUR
RARI/GBP,RARIGBP
RARI/USD,RARIUSD
RARI/XBT,RARIXBT
RAY/EUR,RAYEUR
RAY/USD,RAYUSD
RBC/EUR,RBCEUR
RBC/USD,RBCUSD
REN/EUR,RENEUR
REN/GBP,RENGBP
REN/USD,RENUSD
REN/XBT,RENXBT
REPV2/ETH,REPV2ETH
REPV2/EUR,REPV2EUR
REPV2/USD,REPV2USD
REPV2/XBT,REPV2XBT
REQ/EUR,REQEUR
REQ/USD,REQUSD
RLC/EUR,RLCEUR
RLC/USD,RLCUSD
RNDR/EUR,RNDREUR
RNDR/USD,RNDRUSD
ROOK/EUR,ROOKEUR
ROOK/USD,ROOKUSD
RPL/EUR,RPLEUR
RPL/USD,RPLUSD
RUNE/EUR,RUNEEUR
RUNE/USD,RUNEUSD
SAMO/EUR,SAMOEUR
SAMO/USD,SAMOUSD
SAND/EUR,SANDEUR
SAND/GBP,SANDGBP
SAND/USD,SANDUSD
SAND/XBT,SANDXBT
SBR/EUR,SBREUR
SBR/USD,SBRUSD
SC/ETH,SCETH
SC/EUR,SCEUR
SCRT/EUR,SCRTEUR
SCRT/USD,SCRTUSD
SC/USD,SCUSD
SC/XBT,SCXBT
SDN/EUR,SDNEUR
SDN/USD,SDNUSD
SGB/EUR,SGBEUR
SGB/USD,SGBUSD
SHIB/EUR,SHIBEUR
SHIB/USD,SHIBUSD
SHIB/USDT,SHIBUSDT
SNX/AUD,SNXAUD
SNX/ETH,SNXETH
SNX/EUR,SNXEUR
SNX/GBP,SNXGBP
SNX/USD,SNXUSD
SNX/XBT,SNXXBT
SOL/EUR,SOLEUR
SOL/GBP,SOLGBP
SOL/USD,SOLUSD
SOL/USDT,SOLUSDT
SOL/XBT,SOLXBT
SPELL/EUR,SPELLEUR
SPELL/USD,SPELLUSD
SRM/EUR,SRMEUR
SRM/GBP,SRMGBP
SRM/USD,SRMUSD
SRM/XBT,SRMXBT
STEP/EUR,STEPEUR
STEP/USD,STEPUSD
STG/EUR,STGEUR
STG/USD,STGUSD
STORJ/ETH,STORJETH
STORJ/EUR,STORJEUR
STORJ/USD,STORJUSD
STORJ/XBT,STORJXBT
STX/EUR,STXEUR
STX/USD,STXUSD
SUPER/EUR,SUPEREUR
SUPER/USD,SUPERUSD
SUSHI/EUR,SUSHIEUR
SUSHI/GBP,SUSHIGBP
SUSHI/USD,SUSHIUSD
SUSHI/XBT,SUSHIXBT
SYN/EUR,SYNEUR
SYN/USD,SYNUSD
TBTC/ETH,TBTCETH
TBTC/EUR,TBTCEUR
TBTC/USD,TBTCUSD
TBTC/XBT,TBTCXBT
TEER/EUR,TEEREUR
TEER/USD,TEERUSD
T/EUR,TEUR
TLM/EUR,TLMEUR
TLM/USD,TLMUSD
TOKE/EUR,TOKEEUR
TOKE/USD,TOKEUSD
TRIBE/EUR,TRIBEEUR
TRIBE/USD,TRIBEUSD
TRU/EUR,TRUEUR
TRU/USD,TRUUSD
TRX/ETH,TRXETH
TRX/EUR,TRXEUR
TRX/USD,TRXUSD
TRX/XBT,TRXXBT
T/USD,TUSD
TVK/EUR,TVKEUR
TVK/USD,TVKUSD
UMA/EUR,UMAEUR
UMA/USD,UMAUSD
UNFI/EUR,UNFIEUR
UNFI/USD,UNFIUSD
UNI/ETH,UNIETH
UNI/EUR,UNIEUR
UNI/USD,UNIUSD
UNI/XBT,UNIXBT
USD/AED,USDAED
USDC/AUD,USDCAUD
USDC/CAD,USDCCAD
USDC/CHF,USDCCHF
USDC/EUR,USDCEUR
USDC/GBP,USDCGBP
USD/CHF,USDCHF
USDC/USD,USDCUSD
USDC/USDT,USDCUSDT
USDT/AUD,USDTAUD
USDT/CAD,USDTCAD
USDT/CHF,USDTCHF
USDT/EUR,USDTEUR
USDT/GBP,USDTGBP
USDT/JPY,USDTJPY
USDT/USD,USDTUSD
UST/EUR,USTEUR
UST/USD,USTUSD
UST/USDC,USTUSDC
UST/USDT,USTUSDT
WAVES/ETH,WAVESETH
WAVES/EUR,WAVESEUR
WAVES/USD,WAVESUSD
WAVES/XBT,WAVESXBT
WBTC/EUR,WBTCEUR
WBTC/USD,WBTCUSD
WBTC/XBT,WBTCXBT
WOO/EUR,WOOEUR
WOO/USD,WOOUSD
XBT/AED,XBTAED
XBT/AUD,XBTAUD
XBT/CHF,XBTCHF
XBT/DAI,XBTDAI
XBT/USDC,XBTUSDC
XBT/USDT,XBTUSDT
XCN/EUR,XCNEUR
XCN/USD,XCNUSD
XDG/EUR,XDGEUR
XDG/USD,XDGUSD
XDG/USDT,XDGUSDT
ETC/ETH,ETCETH
ETC/XBT,ETCXBT
ETC/EUR,ETCEUR
ETC/USD,ETCUSD
ETH/XBT,ETHXBT
ETH/CAD,ETHCAD
ETH/EUR,ETHEUR
ETH/GBP,ETHGBP
ETH/JPY,ETHJPY
ETH/USD,ETHUSD
LTC/XBT,LTCXBT
LTC/EUR,LTCEUR
LTC/JPY,LTCJPY
LTC/USD,LTCUSD
MLN/ETH,MLNETH
MLN/XBT,MLNXBT
MLN/EUR,MLNEUR
MLN/USD,MLNUSD
XMR/USDT,XMRUSDT
REP/ETH,REPETH
REP/XBT,REPXBT
REP/EUR,REPEUR
REP/USD,REPUSD
XRP/AUD,XRPAUD
XRP/ETH,XRPETH
XRP/GBP,XRPGBP
XRP/USDT,XRPUSDT
XRT/EUR,XRTEUR
XRT/USD,XRTUSD
XTZ/AUD,XTZAUD
XTZ/ETH,XTZETH
XTZ/EUR,XTZEUR
XTZ/GBP,XTZGBP
XTZ/USD,XTZUSD
XTZ/USDT,XTZUSDT
XTZ/XBT,XTZXBT
XBT/CAD,XBTCAD
XBT/EUR,XBTEUR
XBT/GBP,XBTGBP
XBT/JPY,XBTJPY
XBT/USD,XBTUSD
XDG/XBT,XDGXBT
XLM/XBT,XLMXBT
XLM/AUD,XLMAUD
XLM/EUR,XLMEUR
XLM/GBP,XLMGBP
XLM/USD,XLMUSD
XMR/XBT,XMRXBT
XMR/EUR,XMREUR
XMR/USD,XMRUSD
XRP/XBT,XRPXBT
XRP/CAD,XRPCAD
XRP/EUR,XRPEUR
XRP/JPY,XRPJPY
XRP/USD,XRPUSD
ZEC/XBT,ZECXBT
ZEC/EUR,ZECEUR
ZEC/USD,ZECUSD
YFI/AUD,YFIAUD
YFI/ETH,YFIETH
YFI/EUR,YFIEUR
YFI/GBP,YFIGBP
YFI/USD,YFIUSD
YFI/XBT,YFIXBT
YGG/EUR,YGGEUR
YGG/USD,YGGUSD
EUR/USD,EURUSD
GBP/USD,GBPUSD
ZRX/EUR,ZRXEUR
ZRX/GBP,ZRXGBP
ZRX/USD,ZRXUSD
ZRX/XBT,ZRXXBT
USD/CAD,USDCAD
USD/JPY,USDJPY
